descricao_imovel,aluguel,condominio,total_mensal,iptu,metragem,endereco,bairro,cidade,zona,quartos,banheiros,garagem
"[ Alugue este imóvel sem fiador, sem burocracia, muito mais rápido e com segurança ] - Apartamento com excelente localização, próximo de Supermercados e da UniRitter. Com fácil ace...",1500,292,1792,26,60,Rua Dona Otília, Santa Tereza ,Porto Alegre,Zona Sul,2,1,0
"Apartamento para Aluguel - Santana, 3 Quartos, 145 m2. Sobre o imóvel:   Valores: - Aluguel: R$ 3900 - Condomínio: R$ 200 - IPTU: R$ 107  Que tal agendar uma visita? Entre em conta...",3900,200,4100,107,145,Rua Ramiro Barcelos, Santana ,Porto Alegre,Centro,3,4,0
"[ Alugue este imóvel sem fiador, sem burocracia, muito mais rápido e com segurança ] - Apartamento com excelente localização, próximo à Av. Assis Brasil, Av. Sertório, e Cassol Cen...",1900,527,2427,89,64,Rua Monsenhor Antonio Guilherme Grings, Sarandi ,Porto Alegre,Zona Norte,2,1,1
"APARTAMENTO AMPLO, TRÊS (3) DORMITÓRIOS, SALA, COZINHA, ÁREA DE SERVIÇO E DEPENDÊNCIA DE EMPREGADA COM BANHEIRO. AGENDE UM HORÁRIO COM NOSSOS CORRETORES! 01 DE ISENÇÃO DO VALOR DE...",1200,145,1345,72,78,Rua Gaspar Martins, Floresta ,Porto Alegre,Centro,3,2,0
"Apartamento com excelente infraestrutura, no Bairro Morro Santana, térreo, 2 quartos sendo 01 suíte, 1 banheiro, 48 m², 1 vaga de garagem condominial, piso laminado, frente/lateral...",1100,400,1500,49,48,Avenida Protásio Alves, Morro Santana ,Porto Alegre,Zona Leste,2,1,1
"[ Alugue este imóvel sem fiador, sem burocracia, muito mais rápido e com segurança ] - Apartamento semimobiliado com excelente localização, com fácil acesso ao Maxxi Atacado, Unisu...",1100,451,1551,57,72,Avenida Palmira Gobbi, Humaitá ,Porto Alegre,Zona Norte,2,1,0
****CARÊNCIA DE 4 MESES NO VALOR DO ALUGUEL****Locação Reversível - Agora é possível tornar-se dono do imóvel utilizando as parcelas do aluguel como entrada na compra de apartament...,2775,0,2775,0,60,Rua Jerônymo Zelmanovitz, São Sebastião ,Porto Alegre,Zona Norte,2,1,1
O apartamento no bairro Medianeira com 56 metros quadrados com 2 quartos e 1 banheiro,1100,337,1437,150,56,Rua Eurico Lara, Medianeira ,Porto Alegre,Zona Sul,2,1,0
"Leindecker Imóveis aluga apartamento com 45m², localizado no bairro Protásio Alves, fundos. Imóvel com 2 dormitórios, living 2 ambientes, cozinha, área de serviço, banheiro social...",1000,243,1243,0,45,Avenida Germano Schmarczek, Protásio Alves ,Porto Alegre,Zona Leste,2,1,1
"Apartamento novo, nunca usado, com janelas amplas, ótima distribuição de espaço e iluminação. Localização excelente, ao lado da Avenida Protássio Alves e da UniRitter, com ampla va...",1500,150,1650,55,64,Rua Leonel Vargas, Alto Petrópolis ,Porto Alegre,Zona Norte,2,2,1
"[ Alugue este imóvel sem fiador, sem burocracia, muito mais rápido e com segurança ] - Apartamento semi mobiliado com excelente localização, com fácil acesso ao Shopping Paseo, Aca...",1200,423,1623,35,56,Rua Chico Pedro, Cristal ,Porto Alegre,Zona Sul,2,1,0
****CARÊNCIA DE 4 MESES NO VALOR DO ALUGUEL****Locação Reversível - Agora é possível tornar-se dono do imóvel utilizando as parcelas do aluguel como entrada na compra de apartament...,2396,0,2396,0,56,Rua Jerônymo Zelmanovitz, São Sebastião ,Porto Alegre,Zona Norte,2,1,1
"Apartamento com excelente localização, próximo ao Hospital Santa Ana, Hipermercado Nacional, Bourbon Shopping Teresópolis, com fácil acesso para as Avenidas Teresópolis, Av. Nonoai...",700,303,1003,59,50,Rua Silvério Souto, Teresópolis ,Porto Alegre,Zona Sul,2,1,0
"RESIDENCE IMÓVEIS aluga ou vende excelente apartamento no bairro Tristeza, Porto Alegre, situado na Av. Otto Niemeyer!!! O imóvel possui 3 dormitórios sendo 1 suíte, living 2 ambie...",2750,1000,3750,300,102,Não Informado, Tristeza ,Porto Alegre,Zona Sul,3,1,1
"BC Imóveis aluga apartamento com privilegiada localização, na esquina do shopping Iguatemi, próximo ao Bourbon Country, praça Germânia, escolas, faculdade Unisinos, academias e uma...",2000,670,2670,220,73,Rua Estácio de Sá, Chácara das Pedras ,Porto Alegre,Zona Leste,3,1,1
"Apartamento de 2 dormitórios no bairro Jardim Leopoldina. Imóvel com 42m² de área útil, 5º andar, piso porcelanato.  Composto por living 2 ambientes com sofá, cozinha americana com...",1000,200,1200,190,42,Avenida Juscelino Kubitschek de Oliveira, Jardim Leopoldina ,Porto Alegre,Zona Norte,2,1,1
"Imobiliária Adacon aluga em Porto Alegre. Excelente apartamento de 58m² térreo/frente, imóvel semi mobiliado, possuindo 2 dormitórios, living para 2 ambientes, cozinha com armários...",1200,370,1570,32,58,Não Informado, Santa Tereza ,Porto Alegre,Zona Sul,2,1,2
"Apartamento possui cozinha planejada, refrigerador, microondas, Cooktop, forno elétrico, eletrodomésticos, louças e talheres, além do jogo de panelas (cozinha completa). Ventilador...",1300,300,1600,249,51,Rua Primeiro de Setembro, São José ,Porto Alegre,Zona Leste,2,1,1
"Apartamento com fácil acesso à Avenida Protásio Alves, Usina do Corpo, e outras comodidades do bairro. São 49 m² de área privativa, onde estão distribuídos em 02 dormitórios, sendo...",850,345,1195,62,49,Avenida Germano Schmarczek, Morro Santana ,Porto Alegre,Zona Leste,2,1,0
"Imobiliária Adacon Aluga em Porto Alegre. Apartamento de 3 dormitórios no CENTRO HISTÓRICO. Amplo apartamento de frente, contendo 3 dormitórios, sendo 1 com sacada, amplo living, b...",1500,450,1950,141,100,Não Informado, Centro ,Porto Alegre,Centro,3,1,0
"Leindecker Imóveis aluga apartamento com 90 m² localizado no bairro Santa Cecília, lateral. Imóvel possui 3 dormitórios, sendo 1 suíte, piso parquet, living integrado a sala de jan...",1700,625,2325,0,90,Rua Silva Só, Santa Cecília ,Porto Alegre,Centro,3,3,1
"Apartamento térreo de 2 dormitórios com sala, banheiro, cozinha, área de serviço e pátio com churrasqueira. Possui uma vaga coberta na garagem. Condomínio com baixo custo e próximo...",800,190,990,24,53,Rua Humberto de Campos, Partenon ,Porto Alegre,Zona Sul,2,1,1
"PETROPOLIS, APTO 2 DORMITORIOS (SENDO UM SUITE), SALA COM PISO LAMINADO ESTILO TABUÃO, BANHEIRO SOCIAL, COZINHA , ÁREA SERVIÇO FECHADA, DEPENDENCIA DE EMPREGADA COM BANHEIRO AUXILI...",1390,730,2120,164,110,Avenida Iguassu, Petrópolis ,Porto Alegre,Centro,2,3,1
"Apartamento 2 dorm com vaga de garagem!  Arboretto Green Life, no Alto Petrópolis, em Porto Alegre, condomínio com total infra-estrutura de lazer e segurança, amplos espaços apropr...",1850,450,2300,120,52,Rua Carlos Reverbel, Jardim Carvalho ,Porto Alegre,Zona Leste,2,1,1
"Apartamento para Aluguel - Medianeira, 2 Quartos, 60 m2. Sobre o imóvel:   Valores: - Aluguel: R$ 900 - Condomínio: R$ 300 - IPTU: R$ 42  Que tal agendar uma visita? Entre em conta...",900,300,1200,42,60,Rua Oscar Schneider, Medianeira ,Porto Alegre,Zona Sul,2,1,0
"COZINHA TIPO AMERICANA, 3 DORMITORIO(S), SALA, COZINHA MOBILIADA, COZINHA PLANEJADA, 2 BANHEIRO(S), SACADA, 1 GARAGEM, AGUA QUENTE, BOX DE VIDRO, ELEVADOR, GUARDA 24 H, PISCINA, PI...",1400,535,1935,95,68,Não Informado, Protásio Alves ,Porto Alegre,Zona Leste,3,2,1
"Carfati aluga amplo apartamento com 3 quartos, sendo 2 suítes, e 4 banheiros no total. Apartamento todo mobiliado, bem equipado, bom para quem procura conforto e comodidade. O cond...",3900,200,4100,128,145,Não Informado, Rio Branco ,Porto Alegre,Centro,3,4,0
"Apartamento novo, nunca usado, com janelas amplas, ótima distribuição de espaço e iluminação. Localização excelente, ao lado da Avenida Protássio Alves e da UniRitter, com ampla va...",1500,150,1650,55,64,Rua Leonel Vargas, Alto Petrópolis ,Porto Alegre,Zona Norte,2,2,1
"Leindecker Imóveis aluga apartamento com 71m², localizado no bairro Cristal. Imóvel com dois dormítorios, piso cerâmico. Imóvel com posição solar leste. Possui uma vagas de garagem...",1300,416,1716,0,71,Rua Doutor Campos Velho, Cristal ,Porto Alegre,Zona Sul,2,1,1
"STEFANI IMOVEIS Aluga Apartamento novo com dois dormitórios, sala com sacada, cozinha conjugada com área de serviço, banheiro com box de vidro temperado, piso cerâmica. ***** AGEND...",1300,50,1350,50,55,Rua João Mora, Camaquã ,Porto Alegre,Zona Sul,2,1,0
"[ Alugue este imóvel sem fiador, sem burocracia, muito mais rápido e com segurança ] - Apartamento semi mobiliado com excelente localização, com fácil acesso ao Center Kan, Asun, F...",750,184,934,24,48,Rua Soely Nunes Rosa, Restinga ,Porto Alegre,Zona Sul,2,1,0
"Ótimo apartamento de 2 dormitórios com 54m², 2 dormitórios, sala de estar, cozinha, amplo espaço e vaga de garagem. Condomínio com ótima infraestrutura, local arborizado e paradas...",850,390,1240,29,54,Rua Moyses Antunes da Cunha, Santo Antônio ,Porto Alegre,Zona Sul,2,1,1
"ÓTIMO apartamento com 3 dormitórios, hall, sala de estar, dependência de empregada, cozinha, área de serviço fechada, banheiro social e auxiliar. Ar condicionado instalado, piso em...",1500,520,2020,93,67,Rua dos Andradas, Centro Histórico ,Porto Alegre,Centro,3,2,0
"Apartamento com excelente localização, próximo a Mercado, Ferragem. Com fácil acesso para as Avenidas Tramandaí e Coronel Marcos. São 71m² distribuídos em 02 dormitórios, living 02...",1200,300,1500,48,71,Rua Dea Coufal, Ipanema ,Porto Alegre,Zona Sul,2,1,0
"[ Alugue este imóvel sem fiador, sem burocracia, muito mais rápido e com segurança ] - Apartamento semi mobiliado com excelente localização, com fácil acesso ao Hospital Mãe de Deu...",3000,450,3450,250,121,Rua Barão de Teffe, Menino Deus ,Porto Alegre,Centro,3,1,2
"2 Dormitórios bem arejados, living 2 ambientes, piso cerâmico, cozinha estilo americana com pia e armários, área de serviço com tanque, 1 vaga de veículo (coberta). Condomínio com...",1200,350,1550,55,60,Avenida Manoel Elias, Passo das Pedras ,Porto Alegre,Zona Norte,2,1,1
-,3100,368,3468,128,92,Não Informado, Jardim Itú Sabará ,Porto Alegre,Zona Norte,2,1,1
Locação. Apto 2 dormitórios reformado. 2 vagas de garagem.R$ 1.690Caução ou FiadorVisitas 51 9916.28250,1690,320,2010,24,66,Avenida Bagé, Petrópolis ,Porto Alegre,Centro,2,1,2
"Apartamento mobiliado de 3 dormitórios sendo 1 suíte, no bairro Passo D´Áreia. Imóvel no 3º andar fundos, posição solar leste, piso laminado, liwing integrado com cozinha e churras...",2800,500,3300,140,80,Rua Roque Calage, Passo dAreia ,Porto Alegre,Zona Norte,3,2,2
"Amplo Apartamento na Av. Assis Brasil perto da UPA Assis Brasil e Shopping Bourbon Wallig de Bancos e comércio e Praça.Ampla área de lazer, Com Bar Gourmet , Beauty Care , Biciclet...",3299,471,3770,0,60,Avenida Assis Brasil, Jardim Lindoia ,Porto Alegre,Zona Norte,2,2,1
"Excelente apartamento novo com aproximadamente 44 m² de área privativa no bairro Rubem Berta - Porto Alegre. O imóvel possui 02 quartos, sala, cozinha, banheiro social, living, vag...",900,300,1200,0,44,Rua Reverendo Olavo Nunes, Santa Fé ,Porto Alegre,Zona Norte,2,1,1
"ESTA A PROCURA DE UM APLO APTO MOBILIADO PARA LOCAÇÃO ANUAL OU SEMESTRAL? NÓS TEMOS A OPÇÃO IDEAL PARA VOCÊ! A UMA QUADRA DO HOSPITAL DE CLINICAS, IDEAL PARA ESTUDANTE, MÉDICO RESI...",2500,350,2850,0,90,Não Informado, Bom Fim ,Porto Alegre,Centro,3,3,0
"apartamento bairro Lindóia com 3 quartos(1 suite), 2 banheiros 67,43m², com 1 vaga de garagem, 2º andar, sala com cozinha integrada com churrasqueira, área de serviço integrada à c...",2747,0,2747,0,56,Avenida Assis Brasil, Jardim Lindoia ,Porto Alegre,Zona Norte,2,2,0
"Apartamento 2 dormitórios, sala, cozinha, banheiro e área de serviço no condomínio com baixo custo, interfone e vaga de carro coberta. Edifício próximo ao Nonoai Tênis Clube e Facu...",1200,250,1450,0,59,Não Informado, Nonoai ,Porto Alegre,Zona Sul,2,1,1
"Apartamento entre a AV. A Aparício Borges e Av. Teresópolis do lado do Bourbon Shoppinge perto dos Hospitais Divina Providência e Hospital Santa Ana, nas imediações da Academia de...",2917,0,2917,0,55,Avenida Teresópolis, Teresópolis ,Porto Alegre,Zona Sul,3,2,0
"EXCELENTE APTO na RUA ALEXANDRE SNELL, 25 APTO 202. Bairro CORONEL APARICIO BORGES. Posição: Frente. Metragem Aproximada: 60m².  Posição solar: Sol da manhã. Sala, 02 Dormitórios,...",1100,240,1340,39,60,Rua Alexandre Snel, Coronel Aparício Borges ,Porto Alegre,Zona Sul,2,1,1
"[ Alugue este imóvel sem fiador, sem burocracia, muito mais rápido e com segurança ] - Apartamento com excelente localização, com fácil acesso ao Marcado Keppler, farmácia São João...",1100,290,1390,94,46,Avenida Juca Batista, Cavalhada ,Porto Alegre,Zona Sul,2,1,1
"Poa imob aluga excelente apartamento com 84m2, 3 dormitórios, sendo 1 suíte e 1 vaga de garagem. No imóvel foi instalado uma bancada em mdf que faz a separação da sala e cozinha e...",2700,470,3170,84,84,Avenida Ipiranga, Jardim Botânico ,Porto Alegre,Zona Leste,3,2,1
"Apartamento 03 dormitórios sendo 01 suíte, banheiro social, cozinha americana, living com sacada, área de serviço com 01 vaga de garagem.  Condomínio com salão de festas, playgroun...",2000,600,2600,110,72,Não Informado, Teresópolis ,Porto Alegre,Zona Sul,3,2,1
"[ Alugue este imóvel sem fiador, sem burocracia, muito mais rápido e com segurança ] - Apartamento com excelente localização, com fácil acesso ao Jardim Verde Shopping, Zaffari, Pr...",1400,185,1585,50,68,Rua Dona Elvira, Ipanema ,Porto Alegre,Zona Sul,3,1,0
"Apartamento 3 dormitórios, sendo 1 (um) suíte, living amplo com vista panorâmica e opção de living estendido, cozinha integrada, lavanderia e banheiro social. Condomínio com portar...",2500,435,2935,75,74,Rua Padre Todesco, Partenon ,Porto Alegre,Zona Sul,3,2,2
"[ Alugue este imóvel sem fiador, sem burocracia, muito mais rápido e com segurança ] - Apartamento com excelente localização, próximo ao Supermercado Planalto II, Escola Araújo Via...",1250,358,1608,38,51,Rua Primeiro de Setembro, São José ,Porto Alegre,Zona Leste,2,1,1
"Excelente apartamento com 3 dormitórios, living 2 ambientes, lavabo, baixo valor condominial, excelente localização.",2600,400,3000,90,110,Praça Bela Vista, Bela Vista ,Porto Alegre,Centro,3,1,1
"Belíssimo e aconchegante apartamento semimobiliado todo planejado, no 3° andar para alugar de 2 dorm, sendo 1 suíte, com armários, total de 2 banheiros a gás com armários, living 2...",2300,509,2809,75,59,Rua Coronel Aristides, Camaquã ,Porto Alegre,Zona Sul,2,1,0
"Excelente apartamento de 2 Dormitórios, 1 Banheiro, cozinha, sala e área de serviço. Apartamento térreo, próximo ao Bourbon Ipiranga, local de fácil acesso para o centro da cidade,...",1500,320,1820,80,45,Rua Itaboraí, Jardim Botânico ,Porto Alegre,Zona Leste,2,1,1
"ALUGUE SEM FIADOR - Apartamento decorado da construtora com 62 m² privativos, totalmente mobiliado, com dois dormitórios, sendo um deles suíte, sala de estar, cozinha planejada, ch...",3500,680,4180,86,62,Não Informado, Teresópolis ,Porto Alegre,Zona Sul,2,1,2
"2 DORMITORIO(S), SALA, COZINHA, 2 BANHEIRO(S), 1 AREA DE SERVICO, SACADA, CHURRASQUEIRA, 2 BOX, AGUA QUENTE, AREA EXTERNA, LAREIRA, 1 SUITE(S), VIDEO PORTEIRO",4500,810,5310,542,124,Não Informado, Santa Tereza ,Porto Alegre,Zona Sul,2,2,2
"Apartamento de 03 dormitórios transformado em 02 sendo 01 suíte, semi - mobiliado, com 76m², living com 02 ambiente, cozinha americana com móveis planejados, churrasqueira, lavande...",3500,700,4200,150,77,Não Informado, São Sebastião ,Porto Alegre,Zona Norte,2,2,1
"O Bom Fim é um dos bairros mais procurados de Porto Alegre por um simples motivo: está perto de tudo. Dele, você se desloca com a maior facilidade para todas as regiões da cidade....",1500,370,1870,76,75,Rua Felipe Camarão, Bom Fim ,Porto Alegre,Centro,2,1,0
"Leindecker Imóveis aluga apartamento mobiliado com 52,18m², localizado no bairro Jardim Carvalho. Imóvel com 2 dormitórios, living amplo, cozinha com armários e banheiro social. Po...",1400,426,1826,0,52,Não Informado, Jardim Carvalho ,Porto Alegre,Zona Leste,2,1,1
"Apartamento com 2 dormitório sendo 1 suite com móveis planejados e split em ambos os quartos.. Sala com lareira, vista integrada com a cozinha com móveis planejados, espera para ch...",2675,430,3105,131,75,Não Informado, São João ,Porto Alegre,Zona Norte,2,2,1
"Apartamento para Aluguel - Alto Petrópolis, 2 Quartos, 60 m2. Sobre o imóvel: imóvel bem localizado,seguro, amplo e em frente a praça.  Valores: - Aluguel: R$ 1550 - Condomínio: R$...",1550,290,1840,28,60,Rua Doutor Heitor Pires, Alto Petrópolis ,Porto Alegre,Zona Norte,2,1,0
****CARÊNCIA DE 4 MESES NO VALOR DO ALUGUEL****Locação Reversível - Agora é possível tornar-se dono do imóvel utilizando as parcelas do aluguel como entrada na compra de apartament...,2641,0,2641,0,60,Rua Jerônymo Zelmanovitz, São Sebastião ,Porto Alegre,Zona Norte,2,1,1
"[LOCAÇÃO REVERSÍVEL EMPREENDIMENTO GRAND PARK LINDÓIA] - Empreendimento Melnick com extraordinária infra estrutura. Localizado no bairro Jardim Lindóia, ao lado do Bourbon Assis Br...",2801,609,3410,98,61,Avenida Assis Brasil, Jardim Lindoia ,Porto Alegre,Zona Norte,2,1,1
"Apartamento com excelente localização, próximo ao Mercado Basso, Restaurantes. Com fácil acesso para as Avenidas Ijuí, Protásio Alves. São 90m² distribuídos em 03 dormitório, sendo...",2700,427,3127,286,90,Avenida Alegrete, Petrópolis ,Porto Alegre,Centro,3,1,1
"Boletto Imóveis aluga excelente apartamento Garden em Edifício novo, localizado no Bairro Petrópolis. Lindo apartamento garden semi mobiliado, 2 dormitórios, sendo 1 suíte com saca...",4300,650,4950,150,75,Avenida Ijuí, Petrópolis ,Porto Alegre,Centro,2,2,2
"Boletto Imoveis aluga ótimo apartamento , 2 dormitórios, 2 suítes com banheiras, cozinha, sala de jantar, sala de 8x4, semi mobiliado. Pode ser usado misto residencial/comercial. P...",3800,300,4100,190,150,Avenida Saturnino de Brito, Vila Jardim ,Porto Alegre,Zona Leste,2,3,1
"Cod.imóvel: 554 - Apartamento no Bairro JARDIM BOTANICO com 88 m2, fundos, 8º andar, 2 dormitórios, sacada, ampla sala, cozinha com móveis sob medida, lavanderia com armário aéreo,...",1700,670,2370,104,71,Rua Chile, Jardim Botânico ,Porto Alegre,Zona Leste,2,1,0
"Apartamento térreo de frente, com 02 dormitórios, sala, banheiro e cozinha conjugada com área de serviço. Piso de parquê em toda parte social e cerâmica na cozinha e banheiro. Cond...",690,195,885,30,68,Rua Álvaro Domingues, Santa Fé ,Porto Alegre,Zona Norte,2,1,0
"Apartamento 3 dormitórios , 2 banheiros, sala com sacada, cozinha, área de serviço, splits salão de festas, piscina, portaria 24 hrs Imóvel situado perto da Av. Protasio Alves com...",1600,580,2180,98,68,Não Informado, Morro Santana ,Porto Alegre,Zona Leste,3,2,1
"Apartamento para Aluguel - Nonoai, 2 Quartos, 55 m2. Sobre o imóvel: Belo apartamento de 2 dormitórios, sala, cozinha, , banheiro e área de serviço e garagem fechada. Predio única...",1350,300,1650,38,55,Avenida Nonoai, Nonoai ,Porto Alegre,Zona Sul,2,1,0
"Apartamento para Aluguel - Vila Ipiranga, 3 Quartos, 121 m2. Sobre o imóvel: Apartamento de 3 dormitórios, sacada em L, churrasqueira, peças amplas, semi-mobiliado com 2 vagas de g...",3500,580,4080,234,121,Rua Vera Cruz, Vila Ipiranga ,Porto Alegre,Zona Norte,3,3,2
"Apartamento com excelente localização, com fácil acesso ao Moinhos Shopping, Zaffari, Panvel, Parque e Restaurantes. Fácil acesso para as Avenidas farrapos e Av. Benjamin Constant....",1750,364,2114,137,60,Avenida Cristóvão Colombo, Floresta ,Porto Alegre,Centro,2,1,0
"[ Alugue este imóvel sem fiador, sem burocracia, muito mais rápido e com segurança ] - Apartamento com excelente localização, próximo ao Hipermercado Zaffari, Shopping Lindóia, Ter...",2300,359,2659,116,60,Rua Guadalupe, Jardim Lindoia ,Porto Alegre,Zona Norte,2,1,0
"Apartamento | 3 dormitórios | CristalÓtimo apartamento para locação no bairro Cristal. São 3 dormitórios sendo 1 suíte, living dois ambientes com churrasqueira, cozinha ampla e áre...",2600,295,2895,180,78,Rua Coronel Massot, Cristal ,Porto Alegre,Zona Sul,3,2,2
"Apartamento lateral semi mobiliado com 2 dormitórios, sala de jantar, cozinha e banheiro social.  O apartamento é bem ventilado e iluminado, além de ser recém reformado. O condomín...",950,406,1356,38,52,Rua Carlos Pessoa de Brum, Santo Antônio ,Porto Alegre,Zona Sul,2,1,0
"Apartamento mobiliado com excelente localização, próximo ao Hospital Nossa Sra. da Conceição, Shopping Bourbon Wallig, Hospital Banco de Olhos, Shopping Bourbon Country, Medeplex E...",3200,390,3590,87,58,Rua Antônio Joaquim Mesquita, Passo dAreia ,Porto Alegre,Zona Norte,2,1,1
"Porto do Sol Imóveis ALUGA apartamento de 02 dormitórios em Rua calma e arborizada no Bairro Independência, 65 m² de área útil, posição solar e ventilação privilegiada, living ampl...",2130,479,2609,140,60,Rua Tomaz Flores, Independência ,Porto Alegre,Centro,2,1,1
"Alugue apartamento de 02 dormitórios sendo 01 suíte, com 66m² de área privativa na Cidade Baixa, com ampla sala, piso parquet e teto de gesso, churrasqueira, ar-condicionado 18.000...",3400,1,3401,1,66,Não Informado, Cidade Baixa ,Porto Alegre,Centro,2,2,1
"Apartamento para locação no bairro Jardim Lindoia, com aproximadamente 60m² de área privativa, 02 dormitórios sendo 01 suíte, living 02 ambientes, cozinha americana, área de serviç...",2539,609,3148,0,60,Avenida Assis Brasil, Jardim Lindoia ,Porto Alegre,Zona Norte,2,2,1
"Apartamento c/ aprox. 66m², 2 dormitorios, sala, cozinha, banheiro, área de serviço fechada, piso parquet,1° andar , frente. Localização: av. Cairu quase esquina com Av. Farrapos",980,100,1080,52,76,Avenida Cairu, Navegantes ,Porto Alegre,Zona Norte,2,1,0
"Apartamento para Aluguel - Cavalhada, 2 Quartos, 75 m2. Sobre o imóvel: Excelente apto de 2 dor , sala com linving estendido, cozinha , área de serviço, de frente, bem ensolarado,...",1300,145,1445,26,75,Estrada Vila Maria, Cavalhada ,Porto Alegre,Zona Sul,2,1,0
"Apartamento 2 dormitórios no bairro Jardim do Salso, totalmente mobiliado. O imóvel é localizado no terceiro pavimento, composto por Living 2 ambientes, 2 dormitórios com cama, rou...",1800,430,2230,43,60,Rua Ângelo Crivellaro, Jardim do Salso ,Porto Alegre,Zona Leste,2,1,1
"Leindecker Imóveis aluga apartamento com 72,33m², localizado no bairro Petropolis, frente. Imóvel com 3 dormitórios sendo 1 suíte, living 2 ambientes com ar-condicionado, cozinha c...",1900,982,2882,0,72,Não Informado, Petrópolis ,Porto Alegre,Centro,3,2,1
"Apartamento para Aluguel - São João , 2 Quartos, 65 m2. Sobre o imóvel:   Valores: - Aluguel: R$ 1100 - Condomínio: R$ 75 - IPTU: R$ 40  Que tal agendar uma visita? Entre em contat...",1100,75,1175,40,65,Rua Dom Pedro II, São João ,Porto Alegre,Zona Norte,2,1,0
"Apartamento mobiliado com ótima posição solar, sendo 2 dormitórios sendo 1 suíte, living para 2 ambiente, cozinha completa e equipada, dormitório amplo com armários. 1 vaga de gara...",2700,700,3400,134,70,Não Informado, Centro Histórico ,Porto Alegre,Centro,2,2,1
"APARTAMENTO NO CONDOMÍNIO TERRABELA, DE 2 DORMITÓRIOS, COM 45M² DE ÁREA PRIVATIVA, LIVING 2 AMBIENTES, SPLIT INSTALADO, COZINHA COM ÁREA DE SERVIÇO INTEGRADA E 1 VAGA DE GARAGEM. P...",1200,403,1603,0,45,Rua Coronel Massot, Camaquã ,Porto Alegre,Zona Sul,2,1,1
"⚠️ Administração direto com proprietário ⚠️ (ou seja, pagamento e contrato direto com proprietário)  📌 Muito perto do shopping Total. Condomínio novo com baixo custo.   👉 Sabia m...",2850,270,3120,100,65,Avenida Cristóvão Colombo, Floresta ,Porto Alegre,Centro,2,2,1
"Apartamento para Aluguel - Nonoai, 2 Quartos, 55 m2. Sobre o imóvel: Belo apartamento de 2 dormitórios, sala, cozinha, , banheiro e área de serviço e garagem fechada. Predio única...",1300,300,1600,38,55,Avenida Nonoai, Nonoai ,Porto Alegre,Zona Sul,2,1,0
"Apartamento de 2 dormitórios com dependência, no bairro Praia de Belas, zona sul de Porto Alegre, RS.  Apartamento em frente ao estádio Beira Rio, próximo ao Shopping Praia de Bela...",1500,320,1820,60,80,Avenida Padre Cacique, Praia de Belas ,Porto Alegre,Centro,2,2,0
Apto mobiliado. Churrasqueira na cozinha integrada à sala. Originalmente o apto tinha três dormitórios agora tem living estendido com a abertura do terceiro dormitório aberto. Saca...,4950,720,5670,100,72,Rua Doutor Carlos Renato R. Fonseca, Três Figueiras ,Porto Alegre,Zona Leste,2,2,2
"[ Alugue este imóvel sem fiador, sem burocracia, muito mais rápido e com segurança ] - Apartamento semi mobiliado com excelente localização, com fácil acesso ao Supermercado Livina...",2000,600,2600,120,72,Rua Abram Goldsztein, Jardim Carvalho ,Porto Alegre,Zona Leste,3,1,2
"Apartamento 3 dormitórios (transformado em 2) living estendido, MOBILIADO, com suíte, mais um banheiro social, sacada, churrasqueira, móveis sob medida, sala cozinha, dormitórios e...",2900,700,3600,190,85,Avenida Polônia, São Geraldo ,Porto Alegre,Zona Norte,2,2,1
"Excelente apartamento com 114m2, impecável, com pintura em excelente estado, localizado na Rua Castro Alves, próximo a praça Julio de Castilhos, Hospital Moinhos de Ventos, compost...",2000,790,2790,115,114,Rua Castro Alves, Independência ,Porto Alegre,Centro,3,3,1
"Apartamento com 61m², no bairro Jardim Lindóia. Apartamento com 2 dormitórios, sendo 1 suíte, banheiro social, cozinha com churrasqueira e área de serviços. 1 Vaga de garagem.  Dis...",3144,500,3644,124,61,Não Informado, Jardim Lindoia ,Porto Alegre,Zona Norte,2,2,1
"Apartamento semi-mobiliado, com 2 dormitórios (sendo 1 suíte), com armários fixos e Split, living para 2 ambientes, cozinha americana, sacada com churrasqueira. Área de serviço, ba...",3750,1150,4900,348,80,Não Informado, Moinhos de Vento ,Porto Alegre,Centro,2,2,2
"Apartamento com excelente localização, próximo à Avenida Assis Brasil. São 56m² distribuídos em 02 dormitórios, living 02 ambientes com ventilador de teto, cozinha com pia e balcão...",1100,115,1215,73,56,Rua Itararé, Jardim São Pedro ,Porto Alegre,Zona Norte,2,1,0
"[ Alugue este imóvel sem fiador, sem burocracia, muito mais rápido e com segurança ] - Apartamento com excelente localização, próximo à Av. José Aloisio Filho, Arena do Grêmio. São...",1600,414,2014,190,66,Rua Irmão Félix Roberto, Humaitá ,Porto Alegre,Zona Norte,3,1,1
"[ Alugue este imóvel sem fiador, sem burocracia, muito mais rápido e com segurança ] - Apartamento com excelente localização com fácil acesso para as Avenidas Prof. Oscar Pereira e...",1800,300,2100,110,50,Rua Coronel Aparício Borges, Glória ,Porto Alegre,Zona Sul,2,1,1
"Apartamento para Aluguel - Cristal , 2 Quartos, 70 m2. Sobre o imóvel: - A iluminação é ótima e pega sol direto pela manhã na cozinha e a tarde toda na sala - Está todo reformado e...",1000,260,1260,28,70,Beco A, Cristal ,Porto Alegre,Zona Sul,2,1,0
