descricao_imovel,aluguel,condominio,total_mensal,iptu,metragem,endereco,bairro,cidade,zona,quartos,banheiros,garagem
"Ótima posição solar, piso em porcelanato nas áreas frias (cozinha e banheiro), piso de laminado (áreas quente quartos e sala), condomínio pequeno, parada de ônibus á uma quadra, ga...",1180,200,1380,38,44,Não Informado, Sarandi ,Porto Alegre,Zona Norte,2,1,0
"Parigi Imóveis aluga lindíssimo partamento com excelente localização, próximo à Dom Pedro II. São 110m² de área privativa onde estão distribuídos: 03 Dormitórios, sendo 01 suíte, l...",3990,1475,5465,224,110,Não Informado, Auxiliadora ,Porto Alegre,Zona Norte,3,2,2
"Apartamento com 77m² no bairro Boa Vista, em Porto Alegre. Com 02 dormitórios sendo 02 suítes, cozinha integrada com a sala, churrasqueira, living amplo, iluminado, sacada com vist...",4000,790,4790,235,77,Não Informado, Boa Vista ,Porto Alegre,Zona Norte,2,3,2
"[ Alugue este imóvel sem fiador, sem burocracia, muito mais rápido e com segurança ] - Apartamento com excelente localização, próximo ao Supermercado Livinalli, CORSAN. Com fácil a...",2100,476,2576,95,53,Rua Carlos Reverbel, Jardim Carvalho ,Porto Alegre,Zona Leste,2,1,1
"Apartamento para Aluguel - Cristal , 2 Quartos, 70 m2. Sobre o imóvel:   Valores: - Aluguel: R$ 1200 - Condomínio: R$ 300 - IPTU: R$ 53  Que tal agendar uma visita? Entre em contat...",1200,300,1500,53,70,Rua Doutor Campos Velho, Cristal ,Porto Alegre,Zona Sul,2,1,1
"[ Alugue este imóvel sem fiador, sem burocracia, muito mais rápido e com segurança ] -Apartamento semimobiliado com excelente localização, com fácil acesso ao Hospital Independênci...",2200,487,2687,90,84,Avenida Ipiranga, Jardim Botânico ,Porto Alegre,Zona Leste,3,1,1
"Apartamento para Aluguel - Cristal , 2 Quartos, 86 m2. Sobre o imóvel: Apartamento com 86m, 02 dormitórios, sala ,cozinha com pia armários geladeira e fogão, área de serviço. Condo...",1400,500,1900,50,86,Rua Chico Pedro, Cristal ,Porto Alegre,Zona Sul,2,1,0
"Lindo e confortável apartamento térreo com Giardino (ampla area externa ao redor do apartamento, que trás a sensação de morar em uma casa), com 3 quartos (sendo uma suíte), sala in...",2400,560,2960,195,107,Não Informado, Teresópolis ,Porto Alegre,Zona Sul,3,1,1
"Apartamento com excelente localização, próximo ao Farmácia, Escolas, Mercado. Com fácil acesso para a Avenida Protásio Alves. São 79m² distribuídos em 02 dormitórios com armários e...",1600,810,2410,135,79,Rua Abram Goldsztein, Jardim Carvalho ,Porto Alegre,Zona Leste,2,1,1
"Apartamento para Aluguel - Santana, 2 Quartos, 80 m2. Sobre o imóvel: Imóvel ideal para todos os tipos de pessoas, desde as mais novas por estar perto de parques e do campus da UFR...",2500,620,3120,84,80,Avenida João Pessoa, Santana ,Porto Alegre,Centro,2,2,0
"Apartamento para Aluguel - Rubem Berta, 2 Quartos, 40 m2. Sobre o imóvel:   Valores: - Aluguel: R$ 2000 - Condomínio: R$ 180 - IPTU: R$ 0  Que tal agendar uma visita? Entre em cont...",2000,180,2180,0,40,Avenida Francisco Silveira Bitencourt, Rubem Berta ,Porto Alegre,Zona Norte,2,1,1
"Apartamento semi mobiliado com excelente localização, com fácil acesso ao Hospital Santa casa, Zaffari, Panvel, Theatro São Pedro, Escolas, academias e Restaurantes. Fácil acesso p...",1300,735,2035,159,95,Rua Coronel Fernando Machado, Centro Histórico ,Porto Alegre,Centro,3,1,0
"Apartamento de 2 dormitórios, sendo 1 suíte no bairro Santo Antônio.  Imóvel com 58m² de área privativa, no 2° andar, frente e piso laminado.  O living possui 2 ambientes, cozinha...",1800,415,2215,100,58,Rua Martim Afonso, Santo Antônio ,Porto Alegre,Zona Sul,2,2,1
"Com 62,52 m² privativos, 2 dormitórios, sendo 1 suíte, cozinha em cores neutras , living para 2 ambientes com sacada, lavanderia integrada e 1 vaga de garagem descoberta.  Bem deco...",1990,600,2590,0,62,Rua Doutor Campos Velho, Cristal ,Porto Alegre,Zona Sul,2,2,1
"Caminho Imóveis alugo apartamento de 02 (dois) dormitórios. Bairro Centro de Porto Alegre. Próximo ao Mercado Público. Apartamento reformado, dois dormitórios, cozinha, banheiro so...",1400,0,1400,0,61,Avenida Borges de Medeiros, Centro ,Porto Alegre,Centro,2,1,0
"Apartamento para Aluguel - Petrópolis, 3 Quartos, 116 m2. Sobre o imóvel: Andar alto, bem iluminado e arejado, vista para o Guaíba. Rua silenciosa e arborizada. Possui churrasqueir...",4000,900,4900,159,116,Rua Dário Pederneiras, Petrópolis ,Porto Alegre,Centro,3,3,3
"STEFANI IMÓVEIS Aluga apartamento com box para dois carros, dois dormitórios (sendo uma suíte), sala, cozinha americana com móveis sob medida, área de serviço fechada com junkers,...",2200,400,2600,93,65,Avenida Cinco de Novembro, Teresópolis ,Porto Alegre,Zona Sul,2,1,2
